السنة,الربع ,المنطقة ,النشاط الاقتصادي ,عدد المنشآت متناهية الصغر ,عدد المنشآت الصغيرة ,عدد المنشآت المتوسطة ,عدد المنشآت الكبيرة ,عدد المنشآت 
2022,1,مكتب منطقة مكة المكرمة/جدة,صنع المنتجات الصيدلانية الأساسية والمستحضرات الصيدلانية,11,11,7,1,30
2022,1,مكتب منطقة مكة المكرمة/جدة,صُنع المنتجات الغذائية,751,411,62,24,1248
2022,1,مكتب منطقة مكة المكرمة/جدة,صُنع المنسوجات,86,40,15,2,143
2022,1,مكتب منطقة مكة المكرمة/جدة,صُنع المواد الكيميائية والمنتجات الكيميائية,229,143,39,4,415
2022,1,مكتب منطقة مكة المكرمة/جدة,صُنع الورق ومنتجات الورق,46,48,11,5,110
2022,1,مكتب منطقة مكة المكرمة/جدة,صنع فحم الكوك والمنتجات النفطية المكررة,13,14,3,0,30
2022,1,مكتب منطقة مكة المكرمة/جدة,صُنع منتجات التبغ,5,3,0,0,8
2022,1,مكتب منطقة مكة المكرمة/جدة,صنع منتجات المطاط واللدائن,97,109,48,9,263
2022,1,مكتب منطقة مكة المكرمة/جدة,صنع منتجات المعادن اللافلزية الأخرى,188,107,31,13,339
2022,1,مكتب منطقة مكة المكرمة/جدة,صنع منتجات المعادن المشكلة ( باستثناء الآلات والمعدات ),334,132,44,7,517
2022,1,مكتب منطقة مكة المكرمة/جدة,صيد الأسماك وتربية المائيات,341,54,0,0,395
2022,1,مكتب منطقة مكة المكرمة/جدة,وكالات السفر ومشغّلو الجولات السياحية وخدمات الحجز والأنشطة المتصلة بها,188,89,8,0,285
2022,1,مكتب منطقة نجران,أبحاث الإعلان والسوق,13,0,0,0,13
2022,1,مكتب منطقة نجران,إصلاح أجهزة الحاسوب والسلع الشخصية والمنزلية,76,5,0,0,81
2022,1,مكتب منطقة نجران,إصلاح وتركيب الآلات والمعدات,46,4,0,1,51
2022,1,مكتب منطقة نجران,أنشطة أنتاج الأفلام والبرامج التلفزيونية والتسجيلات الصوتية و نشرالموسيقى,3,0,0,0,3
2022,1,مكتب منطقة نجران,أنشطة الأمن والتحقيقات,2,0,0,1,3
2022,1,مكتب منطقة نجران,أنشطة الاستخدام,21,3,0,0,24
2022,1,مكتب منطقة نجران,أنشطة الاسر المعيشية التي تستخدم أفراداً للعمل المنزلي,4,0,0,0,4
2022,1,مكتب منطقة نجران,أنشطة البرمجة الحاسوبية والخبرة الاستشارية وما يتصل بها من أنشطة,4,1,0,0,5
2022,1,مكتب منطقة نجران,أنشطة البريد ونقل الرسائل والطرود بواسطة مندوبين,1,0,0,0,1
2022,1,مكتب منطقة نجران,أنشطة التشييد المتخصصة,1473,228,11,5,1717
2022,1,مكتب منطقة نجران,أنشطة الخدمات الشخصية الأخرى,565,35,0,0,600
2022,1,مكتب منطقة نجران,أنشطة الخدمات المالية ، فيما عدا تمويل التأمين وصناديق المعاشات,21,1,0,0,22
2022,1,مكتب منطقة نجران,أنشطة العمل الاجتماعي، دون إقامة، لكبار السن وذوي الإعاقة,23,5,0,0,28
2022,1,مكتب منطقة نجران,أنشطة المعالجة وخدمات إدارة النفايات الأخرى,0,1,0,0,1
2022,1,مكتب منطقة نجران,أنشطة المعمارية والهندسية ، والاختبارات الفنية والتحليل,53,18,2,0,73
2022,1,مكتب منطقة نجران,أنشطة المكاتب الرئيسية ، وألأنشطة الاستشارية في مجال الإدارة,15,1,0,0,16
2022,1,مكتب منطقة نجران,أنشطة المكتبات ودور المحفوظات، والمتاحف والأنشطة الثقافية الأخرى,24,1,0,0,25
2022,1,مكتب منطقة نجران,أنشطة المنظمات الدولية,2,0,0,0,2
2022,1,مكتب منطقة نجران,أنشطة المنظمات ذات العضوية,18,0,0,0,18
2022,1,مكتب منطقة نجران,أنشطة النشر,15,5,0,0,20
2022,1,مكتب منطقة نجران,أنشطة تقديم الخدمات للمباني وتجميل المواقع,189,32,4,4,229
2022,1,مكتب منطقة نجران,أنشطة جمع النفايات ومعالجتها وتصريفها ، واسترجاع المواد,5,0,0,0,5
2022,1,مكتب منطقة نجران,أنشطة خدمات الأطعمة والمشروبات,1367,235,15,1,1618
2022,1,مكتب منطقة نجران,أنشطة خدمات المعلومات,1,1,0,0,2
2022,1,مكتب منطقة نجران,أنشطة خدمات دعم التعدين,4,3,0,0,7
2022,1,مكتب منطقة نجران,أنشطة زراعة المحاصيل والإنتاج الحيواني والصيد والخدمات المتصلة,1008,23,3,0,1034
2022,1,مكتب منطقة نجران,استخراج النفط الخام والغاز الطبيعي,2,1,0,0,3
2022,1,مكتب منطقة نجران,الإدارة العامة والدفاع ؛ والضمان الاجتماعي الإلزامي,54,16,0,0,70
2022,1,مكتب منطقة نجران,الإقامة,86,20,2,0,108
2022,1,مكتب منطقة نجران,الأنشطة الإبداعية والفنون وأنشطة الترفيه,4,0,0,0,4
2022,1,مكتب منطقة نجران,الأنشطة الأخرى للتعدين واستغلال المحاجر,8,0,1,0,9
2022,1,مكتب منطقة نجران,الأنشطة الإدارية للمكاتب ، وأنشطة الدعم للمكاتب وغير ذلك من أنشطة الدعم للأعمال,47,1,0,0,48
2022,1,مكتب منطقة نجران,الأنشطة الإيجارية,1388,68,1,1,1458
2022,1,مكتب منطقة نجران,الأنشطة البيطرية,3,3,0,0,6
2022,1,مكتب منطقة نجران,الأنشطة الرياضية وأنشطة التسلية والترفيه,33,10,0,1,44
2022,1,مكتب منطقة نجران,الأنشطة العقارية,32,4,0,0,36
2022,1,مكتب منطقة نجران,الأنشطة القانونية وأنشطة المحاسبة,4,0,0,0,4
2022,1,مكتب منطقة نجران,الأنشطة المساعدة لأنشطة الخدمات المالية وأنشطة التأمين,0,1,0,0,1
2022,1,مكتب منطقة نجران,الأنشطة المهنية والعلمية والتقنية الأخرى,24,0,0,0,24
2022,1,مكتب منطقة نجران,الاتصالات,18,1,0,0,19
